Evaluation,x_t,y_c1,y_c2,y_t,z_c1,Cost
720,16.299239mm,15.950448mm,10.785896mm,0.12700492mm,4.8868347mm,4.3605
85,20mm,2mm,6mm,0.072038054mm,33.034605mm,4.4082
867,17.218002mm,4.4935981mm,11.953206mm,0.13395744mm,14.407494mm,4.4298
853,18.846589mm,18.395895mm,6.4289602mm,0.13092799mm,4.4934973mm,4.4781
224,19.470313mm,12.595297mm,6.2136735mm,0.13633538mm,6.0111852mm,4.495
163,5.875mm,2mm,9.1608363mm,0.072748099mm,20.953736mm,4.5317
706,18.25mm,17.5mm,11.5mm,0.10530428mm,4.5137125mm,4.6536
488,5.0080085mm,18.776295mm,6.0059813mm,0.13508618mm,3.2492365mm,4.6716
839,5.1848752mm,18.820806mm,6.2434104mm,0.13943025mm,3.2477911mm,4.6734
220,5.875mm,20mm,6.2344065mm,0.074867273mm,3.25mm,4.6757
203,5.3510933mm,19.743411mm,6.1251715mm,0.10111176mm,3.1394875mm,4.7737
414,5mm,11.904911mm,10.207677mm,0.07mm,4.5159979mm,4.8808
861,15.58178mm,18.073448mm,6.2670522mm,0.078373389mm,4.044013mm,4.9899
732,19.799121mm,19.374357mm,6.3837583mm,0.076953653mm,4.1515533mm,5.0206
507,5.8605583mm,19.986584mm,11.070204mm,0.071386345mm,3.20739mm,5.0858
598,10.298788mm,2.0011465mm,8.8847443mm,0.11418655mm,21.693022mm,5.1526
772,5.3939899mm,19.363134mm,11.754336mm,0.13916979mm,3.2154576mm,5.1545
851,7.5334252mm,19.292565mm,6.003988mm,0.13999264mm,3.1194503mm,5.2141
529,8.3885029mm,19.734997mm,11.398862mm,0.12957931mm,3.2415293mm,5.3144
263,5.9114443mm,17.637575mm,11.535723mm,0.078212112mm,3.3485613mm,5.3763
409,14.110476mm,2mm,6.182161mm,0.07mm,23.254032mm,5.4313
996,9.5829497mm,6.7641272mm,9.5213209mm,0.10227146mm,6.9662139mm,5.4946
247,15.856019mm,19.826391mm,6.2256421mm,0.073404652mm,3.5422369mm,5.5358
250,18.772735mm,2.0058182mm,9.029144mm,0.13999734mm,25.34321mm,5.6229
480,12.10646mm,19.193368mm,6.1250213mm,0.071509363mm,3.2131362mm,5.8719
698,11.561155mm,19.00563mm,11.7627mm,0.13998894mm,3.25mm,5.9339
629,7.5421088mm,9.1504065mm,9.2083344mm,0.12599359mm,4.8870249mm,5.9528
734,15.621728mm,18.107mm,6.5310677mm,0.084830916mm,3.4433757mm,6.0246
962,5mm,20mm,6.125mm,0.07mm,2.625mm,6.0444
702,5.8586233mm,19.725491mm,6.0080003mm,0.13686938mm,2.6297703mm,6.088
919,11.266545mm,12.123838mm,6mm,0.10914644mm,4.1023666mm,6.098
918,11.469429mm,12.33693mm,6mm,0.10994341mm,3.9887137mm,6.2614
459,17.777716mm,17.973768mm,6.2886751mm,0.081488437mm,3.4433757mm,6.4655
612,5.8325721mm,2.0007781mm,9.5628985mm,0.10611047mm,16.15812mm,6.4861
164,19.179748mm,19.77353mm,6mm,0.13553272mm,3.25mm,6.4872
914,5.3946627mm,2.0376992mm,6mm,0.070595479mm,14.043987mm,6.5591
748,20mm,2mm,11.049846mm,0.085193488mm,24.025075mm,6.5791
614,5.4081255mm,19.54193mm,6.0115605mm,0.079305998mm,2.4998277mm,6.5879
800,20mm,2mm,10.401548mm,0.07mm,23.792979mm,6.6197
274,19.75927mm,19.452919mm,6.0644965mm,0.13966499mm,3.2472362mm,6.66
410,19.833905mm,19.754871mm,7.5359961mm,0.073891064mm,3.2109841mm,6.6815
172,18.304748mm,18.52353mm,6.25mm,0.13053272mm,3.25mm,6.7075
406,5.2880489mm,18.761249mm,6.0148882mm,0.091961267mm,2.5000083mm,6.708
846,19.338923mm,18.93498mm,11.874752mm,0.072174749mm,3.3386944mm,6.7487
599,19.283897mm,2.3553571mm,11.772541mm,0.12542852mm,20.021244mm,6.7865
866,6.7264218mm,19.919764mm,7.7539422mm,0.070561886mm,2.5061556mm,6.8014
497,5.0003979mm,11.86983mm,6.2382863mm,0.13558357mm,3.2392938mm,6.806
554,19.851583mm,19.860109mm,6.0512527mm,0.13773208mm,3.1383955mm,6.854
324,19.175059mm,19.570649mm,6.1765998mm,0.1365619mm,3.1137824mm,6.9025
15,7.449881mm,19.127429mm,8.4085972mm,0.11141095mm,2.5656717mm,6.9584
602,5.5977878mm,18.882415mm,6.0886791mm,0.074479544mm,2.4436193mm,7.0246
258,11.022194mm,4.6510964mm,9.9188638mm,0.098223166mm,8.3920438mm,7.0612
886,6.481406mm,17.876649mm,6.0776624mm,0.13175415mm,2.4993417mm,7.1776
92,19.250139mm,19.033531mm,11.936575mm,0.073070675mm,3.1447682mm,7.2876
835,19.832854mm,18.872154mm,6.1626278mm,0.070985625mm,3.1459161mm,7.4073
737,18.344485mm,17.64928mm,6.467212mm,0.1305523mm,3.1188495mm,7.4281
216,19.464006mm,2.0017993mm,6.5708518mm,0.12952881mm,20.548585mm,7.4311
997,19.195628mm,18.790254mm,11.750773mm,0.074996236mm,3.1061069mm,7.4814
874,18.557902mm,18.986844mm,9.0851917mm,0.077938815mm,2.9733264mm,7.5091
504,19.997823mm,18.93308mm,11.95007mm,0.070106206mm,3.0787716mm,7.6694
499,19.296289mm,19.343113mm,6.1203619mm,0.13865143mm,2.8455288mm,7.866
110,5.8067684mm,12.676245mm,11.899256mm,0.10370855mm,3.1807464mm,7.926
862,5.0271379mm,7.6015488mm,8.8934679mm,0.078310163mm,4.2376237mm,8.0215
876,19.126317mm,18.040803mm,6.3533903mm,0.098961366mm,2.9158766mm,8.1294
928,19.676868mm,15.178176mm,6mm,0.077901759mm,3.3710505mm,8.2098
415,16.899796mm,19.472069mm,6.1082282mm,0.10244618mm,2.6126833mm,8.3584
242,18.56248mm,4.504227mm,8.3950124mm,0.13216249mm,8.8066042mm,8.4451
619,19.475757mm,19.131167mm,6.0758373mm,0.1377687mm,2.7237083mm,8.4514
929,19.717889mm,15.093428mm,6mm,0.079431849mm,3.2802667mm,8.5591
315,7.1935356mm,16.94359mm,11.823552mm,0.13644448mm,2.4999366mm,8.6602
787,5.5348377mm,19.779992mm,6.0326856mm,0.1241033mm,2mm,8.6952
500,19.136331mm,13.423065mm,11.751868mm,0.074371739mm,3.6016977mm,8.7214
84,5.6996677mm,19.145258mm,6.000424mm,0.13623284mm,2.0021011mm,8.9535
516,5.7829002mm,18.915854mm,6mm,0.10968862mm,2.021989mm,8.9545
710,6.7371015mm,19.980124mm,6.493902mm,0.13001695mm,2.0000222mm,8.974
125,8.4530255mm,13.741979mm,6.0015094mm,0.11057707mm,2.6239231mm,9.0143
481,5.875mm,19.077279mm,6.016052mm,0.1370696mm,2mm,9.043
955,5.41877mm,19.50669mm,7.4128376mm,0.071889847mm,2mm,9.0454
124,8.4381044mm,13.75855mm,6.0200636mm,0.109556mm,2.563899mm,9.2894
894,16.705035mm,18.868843mm,10.783881mm,0.077433762mm,2.4998211mm,9.4665
226,19.496276mm,19.155787mm,11.771249mm,0.07162898mm,2.5746724mm,9.6178
594,5mm,2mm,9.4533299mm,0.07mm,11.750388mm,9.7724
908,11.402736mm,19.780412mm,6.1792988mm,0.13547958mm,2.073187mm,9.7791
83,19.783254mm,19.292515mm,11.857442mm,0.072380521mm,2.5363016mm,9.8125
523,5.3638608mm,19.424283mm,11.995259mm,0.13997145mm,2.0028222mm,9.9933
214,5.5772869mm,19.321667mm,11.690899mm,0.080299357mm,2.0138554mm,10.008
498,5.2632126mm,14.399146mm,6.1583358mm,0.13768991mm,2.1687674mm,10.044
755,19.691982mm,18.334754mm,7.1484167mm,0.072037447mm,2.5000114mm,10.053
995,5.2853897mm,19.205722mm,11.837545mm,0.13737526mm,2mm,10.057
875,6.75mm,20mm,12mm,0.14mm,2mm,10.063
607,5.6642135mm,19.449179mm,11.779956mm,0.073448728mm,2mm,10.108
701,11.722021mm,20mm,6.7799951mm,0.14mm,2mm,10.259
789,5mm,15.990933mm,6.0292166mm,0.070388402mm,2mm,10.332
464,5.7319636mm,12.530478mm,11.969377mm,0.072572146mm,2.6013728mm,10.734
542,13.253963mm,19.765889mm,6.0532227mm,0.13842164mm,2mm,10.734
648,9.7551489mm,18.123229mm,6.3066484mm,0.074204337mm,2mm,10.745
860,19.392827mm,17.79285mm,11.536129mm,0.13685025mm,2.4891105mm,10.797
391,12.79865mm,19.414371mm,6.1362069mm,0.11094501mm,2mm,10.819
841,8.8061742mm,19.524597mm,12mm,0.07mm,2mm,10.88
281,14.742506mm,19.720007mm,6.0382715mm,0.11533414mm,2.0008934mm,11.201
714,19.891908mm,18.827922mm,11.810478mm,0.070411665mm,2.342313mm,11.287
731,18.319902mm,18.864939mm,6.4350602mm,0.072385075mm,2.1794371mm,11.466
857,19.124692mm,16.585156mm,11.538893mm,0.13325033mm,2.50043mm,11.494
963,15.912554mm,19.547282mm,6.0804635mm,0.11262224mm,2.0017088mm,11.594
279,14.624911mm,18.87755mm,6.0563082mm,0.11776802mm,2.0010656mm,11.607
436,15.621728mm,19.550376mm,6.2423925mm,0.084830916mm,2mm,11.623
262,7.3023628mm,4.2397681mm,6.6848989mm,0.083763594mm,5.2974511mm,11.682
733,19.971729mm,19.735328mm,6.4264559mm,0.13118867mm,2.1051434mm,11.689
441,15.800242mm,19.557963mm,6.2781773mm,0.082805649mm,2mm,11.697
280,14.971634mm,18.762375mm,6.020792mm,0.11629983mm,2.0015706mm,11.772
171,16.349251mm,19.382443mm,6.0289226mm,0.13895131mm,2mm,11.793
183,17.990443mm,19.718057mm,6.3217693mm,0.1351862mm,2mm,12.031
873,10.783102mm,11.80999mm,6.5467371mm,0.075811299mm,2.5000143mm,12.251
620,5mm,2.9874362mm,11.867739mm,0.070798795mm,7.4907197mm,12.254
991,18.359289mm,20mm,6mm,0.07mm,2mm,12.315
310,17.777716mm,19.417143mm,6mm,0.081488437mm,2mm,12.368
804,20mm,20mm,6.125mm,0.14mm,2mm,12.404
440,18.128921mm,19.458018mm,6.3958384mm,0.077453505mm,2mm,12.41
344,19.18858mm,20mm,6.2316564mm,0.074679017mm,2mm,12.451
707,5mm,4.4729897mm,6.0003037mm,0.079605381mm,4.3335216mm,12.531
458,18.481198mm,19.508561mm,6.0872mm,0.071574858mm,2.0015684mm,12.588
837,19.464407mm,19.573373mm,7.2987687mm,0.070685476mm,2mm,12.726
512,19.178278mm,19.96855mm,10.039133mm,0.070272379mm,2.0009165mm,12.733
185,19.23102mm,18.818017mm,6.2318934mm,0.12841309mm,2.0192387mm,12.767
231,16.299239mm,18.837199mm,10.785896mm,0.13855193mm,2.0000834mm,12.826
900,5.8704748mm,6.6595938mm,6.1540283mm,0.1398902mm,3.1940384mm,12.868
575,17.806469mm,19.736583mm,11.877781mm,0.071860766mm,2mm,12.895
70,19.127109mm,18.767314mm,6.2436052mm,0.13502443mm,2.0008155mm,12.923
412,20mm,19.393408mm,7.5890676mm,0.077801961mm,2mm,12.962
719,18.538596mm,17.537342mm,11.690141mm,0.1376756mm,2.1745624mm,13.07
266,20mm,20mm,12mm,0.10530428mm,2.0137125mm,13.115
705,19.439467mm,13.942031mm,7.0524997mm,0.07304596mm,2.5003965mm,13.165
736,19.558338mm,19.858588mm,11.75553mm,0.08316557mm,2mm,13.208
34,19.50232mm,19.376724mm,10.174109mm,0.070811189mm,2.0032122mm,13.218
420,20mm,20mm,12mm,0.14mm,2mm,13.258
975,15.759394mm,16.99819mm,6.125mm,0.072406029mm,2mm,13.429
10,19.989456mm,19.410972mm,11.997267mm,0.139991mm,2.0000421mm,13.678
115,19.552365mm,2.3823167mm,8.0522549mm,0.10401936mm,11.230795mm,14.014
173,19.572843mm,3.0608513mm,8.3950124mm,0.137936mm,8.8066042mm,14.283
893,18.67682mm,13.045318mm,9.567086mm,0.13392588mm,2.4997288mm,14.311
589,19.379614mm,10.458211mm,11.755231mm,0.13556581mm,3.0875992mm,14.51
253,5.8339602mm,11.484211mm,7.5128751mm,0.08028091mm,2.0264061mm,14.572
552,5mm,2mm,6mm,0.088773917mm,7.7722068mm,14.654
228,20mm,2mm,10.17179mm,0.07mm,13.434997mm,14.679
953,5mm,10.580119mm,6mm,0.14mm,2mm,14.732
248,7.8149993mm,6.790831mm,6.0428093mm,0.13925229mm,2.9416133mm,15.372
845,6.6475852mm,4.3953868mm,6mm,0.075341945mm,4.0253522mm,15.515
271,9.8244038mm,2.0007084mm,10.064681mm,0.13775439mm,9.9887492mm,15.726
424,5.0407315mm,12.077417mm,12mm,0.094045634mm,2mm,15.839
858,13.55636mm,10.876755mm,11.115892mm,0.11513534mm,2.5000081mm,16.044
871,18.600995mm,11.229161mm,6.3381204mm,0.092022342mm,2.5001054mm,16.098
511,19.742665mm,3.0011136mm,11.882194mm,0.070303279mm,8.8099158mm,16.105
244,5mm,11.76572mm,11.929889mm,0.11093054mm,2mm,16.2
241,19.616437mm,13.929925mm,6.0460982mm,0.10843844mm,2mm,17.801
368,19.534443mm,2.625mm,6.001736mm,0.13891329mm,8.3505359mm,17.954
725,6.1389517mm,4.3983031mm,10.774215mm,0.13210145mm,4.070198mm,18.089
510,11.106379mm,2.9677769mm,11.975746mm,0.072390288mm,6.7451561mm,18.437
910,5.0194574mm,10.218768mm,11.960176mm,0.13755798mm,2mm,18.804
251,8.8469915mm,2.3760942mm,11.81824mm,0.13602053mm,7.4603551mm,19.541
592,7.2357857mm,6.880558mm,11.961564mm,0.13516798mm,2.8086259mm,19.582
182,5.5213829mm,9.1504065mm,9.2083344mm,0.13754059mm,2.0002735mm,19.643
94,5.4270721mm,4.3431569mm,6.17518mm,0.13937525mm,3.2353137mm,20.099
878,18.383952mm,11.76276mm,6.0792533mm,0.070098522mm,2.0025062mm,20.878
177,5.825159mm,2mm,8.8619236mm,0.1075764mm,6.9477062mm,20.886
704,17.503104mm,12.614593mm,11.998474mm,0.13943773mm,2mm,20.951
162,19.594597mm,2.3760129mm,6.0184094mm,0.13588194mm,7.9641048mm,21.851
309,15.316122mm,8.9970896mm,11.993422mm,0.13928999mm,2.466631mm,21.868
881,5.0249192mm,3.9989917mm,6.1504931mm,0.073453332mm,3.2198661mm,21.916
628,19.458568mm,6.3848866mm,6.2014492mm,0.072528428mm,3.0898028mm,23.77
844,18.329959mm,4.6260206mm,11.534051mm,0.079309873mm,4.2435351mm,24.778
694,17.640877mm,7.9167195mm,11.926252mm,0.070092163mm,2.6148029mm,24.935
741,5.0648405mm,5.9857038mm,6.0752826mm,0.070867931mm,2mm,27.115
795,5.327382mm,2.3637467mm,6.2234234mm,0.07122107mm,4.4313986mm,27.227
370,17.477472mm,2mm,6mm,0.13997764mm,7.4751869mm,28.017
243,19.130116mm,5.6820011mm,10.982749mm,0.13500559mm,3.22853mm,28.317
754,18.28577mm,3.8306286mm,6.001767mm,0.079728007mm,4.1499502mm,28.461
615,14.505237mm,6.1117588mm,11.812416mm,0.073062156mm,2.7822345mm,28.847
865,18.55932mm,3.5698974mm,6.1894747mm,0.13511931mm,4.3899179mm,28.959
895,5.7532393mm,3.2928439mm,6.2803896mm,0.07815074mm,3.1920185mm,29.511
864,6.3817114mm,3.1840342mm,6.0406119mm,0.074244535mm,3.3181493mm,29.813
97,5.7130324mm,5.2141321mm,11.298793mm,0.071569229mm,2.5002683mm,29.875
770,5.7969839mm,3.2377172mm,6.0000552mm,0.075mm,3.1817049mm,29.969
825,20mm,2.000715mm,9.9584358mm,0.070902385mm,7.9747534mm,30.805
722,18.675974mm,4.091085mm,8.3980416mm,0.071172193mm,3.8693637mm,30.976
49,19.950487mm,6.8745462mm,8.9095137mm,0.098582054mm,2.5000265mm,31.216
276,5.409052mm,2.9939647mm,6.076625mm,0.1002397mm,3.0849765mm,33.779
879,5.8428001mm,2.420983mm,6.4551401mm,0.074133817mm,3.7867459mm,34.519
229,5.1058077mm,2.8462732mm,6.0602309mm,0.074474749mm,3.1221203mm,34.749
477,5.7065288mm,3.5079105mm,11.860491mm,0.12925509mm,3.212837mm,34.825
205,17.849564mm,8.0140861mm,12mm,0.14mm,2mm,36.332
903,5.7619638mm,3.0234055mm,8.5663518mm,0.073665309mm,3.2091042mm,36.677
661,5.5222694mm,5.0801564mm,8.3359306mm,0.10448941mm,2mm,37.022
762,5.4703842mm,3.1415099mm,6.0850728mm,0.070921617mm,2.7545244mm,37.672
988,5.8374317mm,3.1942968mm,6.0022764mm,0.074944454mm,2.7209308mm,38.197
872,6.7445188mm,3.2323294mm,6.0183852mm,0.13260608mm,2.6461038mm,41.07
761,5.7789125mm,3.0655143mm,10.520967mm,0.072693613mm,3.0898842mm,41.728
884,6.3965151mm,3.42632mm,7.2576127mm,0.078934453mm,2.4963114mm,43.474
832,12.67578mm,3.0454786mm,6.0679705mm,0.13564916mm,3.2072382mm,44.717
882,18.36399mm,3.3088991mm,6.6890678mm,0.11910441mm,3.4253171mm,45.955
708,19.470284mm,3.4844225mm,6.3284176mm,0.13800272mm,3.2960922mm,46.535
868,5.0829607mm,2.9379226mm,11.868979mm,0.076021921mm,2.8302072mm,51.313
403,19.125mm,3.25mm,7.4768676mm,0.135mm,3.25mm,53.165
854,6.5604251mm,2.8199759mm,7.2689796mm,0.074803828mm,2.499877mm,56.154
417,5.6320546mm,2.5263771mm,8.9200646mm,0.13785657mm,2.7720199mm,57.662
239,5.285927mm,2.4919886mm,6.0006248mm,0.071794769mm,2.4660712mm,58.144
651,16.355976mm,2.9008791mm,6.1532815mm,0.12102894mm,3.076575mm,58.642
261,5.7371152mm,2.0037002mm,6.2376853mm,0.074819322mm,3.0613832mm,58.803
906,19.359513mm,3.0392059mm,6.2477384mm,0.073542647mm,3.1737614mm,58.836
277,5.2508775mm,3.1393647mm,6.1513193mm,0.07440906mm,2.0026999mm,59.033
999,18.430393mm,2.0048697mm,6.4778774mm,0.070844392mm,4.4982017mm,60.869
898,10.915239mm,2.8836686mm,11.848893mm,0.072470379mm,2.9962213mm,61.414
321,5.2300222mm,3.0233273mm,6.0022031mm,0.07251031mm,2mm,61.438
887,19.562964mm,4.1850926mm,11.66974mm,0.12894005mm,2.4987725mm,63.001
89,5.1800226mm,2.7181257mm,6.130693mm,0.074404491mm,2.1611126mm,63.142
532,19.576534mm,3.2345956mm,6.1657985mm,0.074551193mm,2.8569704mm,63.276
639,19.135344mm,3.1306681mm,11.989844mm,0.11822045mm,3.205988mm,64.55
636,19.64212mm,4.6903712mm,6.0991043mm,0.088258135mm,2mm,64.946
618,16.71625mm,4.3173296mm,6.1348524mm,0.1366473mm,2mm,65.627
798,5.0893892mm,2.081204mm,11.923738mm,0.13676346mm,3.1402842mm,70.05
427,19.543035mm,2.7059381mm,6.2363986mm,0.13607412mm,3.1303623mm,70.321
462,5.875mm,3.25mm,11.169027mm,0.07mm,2mm,75.243
180,5.875mm,3.1820934mm,11.955352mm,0.13536227mm,2mm,79.8
501,17.446891mm,2.9241972mm,6.0934268mm,0.073811019mm,2.5002228mm,81.61
641,19.93099mm,3.028883mm,6.079655mm,0.070461582mm,2.5038888mm,84.462
313,19.830029mm,2.5294546mm,11.771908mm,0.13504968mm,3.2477513mm,85.809
892,19.207223mm,4.2135765mm,11.742568mm,0.072715976mm,2mm,85.914
518,5.875mm,2.3878537mm,6mm,0.07mm,2mm,86.174
494,19.151425mm,2.7534786mm,11.907504mm,0.070248035mm,2.9538414mm,86.809
794,9.3630743mm,3.2368918mm,11.999835mm,0.13998529mm,2mm,89.936
535,8.4463289mm,2.0024927mm,7.788557mm,0.097932399mm,2.625mm,92.581
791,19.710776mm,2.5562932mm,10.776mm,0.070606179mm,2.9733891mm,93.607
316,19.565172mm,2.1869723mm,6.0552766mm,0.1240155mm,3.0164962mm,98.345
777,19.859913mm,2.6864078mm,6.0075633mm,0.096215538mm,2.4999267mm,98.639
595,5.8687679mm,2.0110417mm,6.0024783mm,0.070040569mm,2.0064898mm,107.55
237,5.875mm,2mm,6mm,0.14mm,2mm,108.65
101,19.998016mm,3.5290986mm,12mm,0.070800986mm,2mm,112.21
888,18.663608mm,2.0620259mm,11.562224mm,0.13287857mm,3.0774872mm,118.69
613,19.464161mm,2.3514815mm,6.2260805mm,0.074077534mm,2.398693mm,125
718,19.337415mm,3.2014054mm,11.854087mm,0.1314521mm,2mm,125.07
972,5.4244849mm,2.0439947mm,11.962178mm,0.070165335mm,2.0554047mm,135.7
369,13.88795mm,2mm,11.965544mm,0.13818174mm,2.625mm,136.12
665,19.683923mm,2.3870036mm,7.1030377mm,0.073183516mm,2mm,164.99
977,19.564256mm,2.6101074mm,11.876834mm,0.072220995mm,2.0038758mm,166.29
643,20mm,2.3372412mm,6.15714mm,0.071775634mm,2mm,166.65
998,16.847354mm,2.0181388mm,6.0023752mm,0.079918401mm,2.0005884mm,181.3
692,19.895207mm,2.3899526mm,11.981265mm,0.070365601mm,2.0074671mm,189.56
843,19.535084mm,2.1524544mm,7.6407018mm,0.07mm,2mm,191.94
311,20mm,2.0366379mm,6mm,0.072402022mm,2mm,200.42
341,14.149939mm,2mm,11.950273mm,0.07mm,2mm,204.94
728,20mm,2mm,6mm,0.14mm,2mm,204.98
658,20mm,2mm,6mm,0.10304687mm,2mm,205.05
729,20mm,2mm,6.5mm,0.13mm,2mm,207.64
402,20mm,2mm,7.4768676mm,0.14mm,2mm,214.15
139,19.813749mm,2mm,7.7275095mm,0.090079071mm,2mm,214.94
774,19.563405mm,2.0529129mm,11.982285mm,0.13884676mm,2.0091294mm,231.19
699,19.149336mm,2.0014706mm,11.998206mm,0.13520313mm,2.0231679mm,234.49
724,18.999107mm,2mm,12mm,0.14mm,2mm,237.57
234,19.917063mm,2.0268139mm,11.965093mm,0.071854583mm,2.0043614mm,238.95
138,19.83004mm,2.0238904mm,11.9748mm,0.11187958mm,2mm,239.2
491,20mm,2mm,12mm,0.07mm,2mm,244.84
